date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:38:03	5928/5928	---M--	200	added ('OK')	application/javascript	etag:%221728-5e31d8c23db1e%22	http://103.145.63.69:83/assets/js/search_filter1c07.js	/Users/macone/Desktop/thaomocxua-1/mocthaoxua_render/103.145.63.69_83/assets/js/search_filter1c07.js	(from http://103.145.63.69:83/)
19:38:05	82180/82180	---M--	200	added ('OK')	application/javascript	etag:%2214104-5e31d8c23db1e%22	http://103.145.63.69:83/assets/js/plugin1c07.js	/Users/macone/Desktop/thaomocxua-1/mocthaoxua_render/103.145.63.69_83/assets/js/plugin1c07.js	(from http://103.145.63.69:83/)
19:38:05	36288/36288	---M--	200	added ('OK')	application/javascript	etag:%228dc0-5e31d8c23d736%22	http://103.145.63.69:83/assets/js/main1c07.js	/Users/macone/Desktop/thaomocxua-1/mocthaoxua_render/103.145.63.69_83/assets/js/main1c07.js	(from http://103.145.63.69:83/)
19:38:08	1291/1291	---M--	200	added ('OK')	application/javascript	etag:%2250b-5e31d8c23d736%22	http://103.145.63.69:83/assets/js/jquery.ui.touch-punch.min.js	/Users/macone/Desktop/thaomocxua-1/mocthaoxua_render/103.145.63.69_83/assets/js/jquery.ui.touch-punch.min.js	(from http://103.145.63.69:83/)
19:38:08	22225/22225	---M--	200	added ('OK')	application/javascript	etag:%2256d1-5e31d8c23cf66%22	http://103.145.63.69:83/assets/js/jquery-ui.min1c07.js	/Users/macone/Desktop/thaomocxua-1/mocthaoxua_render/103.145.63.69_83/assets/js/jquery-ui.min1c07.js	(from http://103.145.63.69:83/)
19:38:10	1552/1552	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2020%20Sep%202022%2012:38:08%20GMT	http://103.145.63.69:83/assets/css/images/ui-icons_444444_256x240.html	/Users/macone/Desktop/thaomocxua-1/mocthaoxua_render/103.145.63.69_83/assets/css/images/ui-icons_444444_256x240.html	(from http://103.145.63.69:83/assets/css/jquery-ui.min1c07.css)
19:38:12	23022/23022	---M--	200	added ('OK')	application/javascript	etag:%2259ee-5e31d8c23cf66%22	http://103.145.63.69:83/assets/js/jquery-flexslider-min1c07.js	/Users/macone/Desktop/thaomocxua-1/mocthaoxua_render/103.145.63.69_83/assets/js/jquery-flexslider-min1c07.js	(from http://103.145.63.69:83/)
19:38:12	1552/1552	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2020%20Sep%202022%2012:38:10%20GMT	http://103.145.63.69:83/assets/css/images/ui-icons_555555_256x240.html	/Users/macone/Desktop/thaomocxua-1/mocthaoxua_render/103.145.63.69_83/assets/css/images/ui-icons_555555_256x240.48.delayed	(from http://103.145.63.69:83/assets/css/jquery-ui.min1c07.css)
19:38:14	1552/1552	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2020%20Sep%202022%2012:38:12%20GMT	http://103.145.63.69:83/assets/css/images/ui-icons_ffffff_256x240.html	/Users/macone/Desktop/thaomocxua-1/mocthaoxua_render/103.145.63.69_83/assets/css/images/ui-icons_ffffff_256x240.49.delayed	(from http://103.145.63.69:83/assets/css/jquery-ui.min1c07.css)
19:38:16	1552/1552	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2020%20Sep%202022%2012:38:14%20GMT	http://103.145.63.69:83/assets/css/images/ui-icons_777620_256x240.html	/Users/macone/Desktop/thaomocxua-1/mocthaoxua_render/103.145.63.69_83/assets/css/images/ui-icons_777620_256x240.4a.delayed	(from http://103.145.63.69:83/assets/css/jquery-ui.min1c07.css)
19:38:18	1552/1552	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2020%20Sep%202022%2012:38:16%20GMT	http://103.145.63.69:83/assets/css/images/ui-icons_cc0000_256x240.html	/Users/macone/Desktop/thaomocxua-1/mocthaoxua_render/103.145.63.69_83/assets/css/images/ui-icons_cc0000_256x240.4b.delayed	(from http://103.145.63.69:83/assets/css/jquery-ui.min1c07.css)
19:38:20	1552/1552	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2020%20Sep%202022%2012:38:18%20GMT	http://103.145.63.69:83/assets/css/images/ui-icons_777777_256x240.html	/Users/macone/Desktop/thaomocxua-1/mocthaoxua_render/103.145.63.69_83/assets/css/images/ui-icons_777777_256x240.4c.delayed	(from http://103.145.63.69:83/assets/css/jquery-ui.min1c07.css)
19:38:22	1552/1552	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2020%20Sep%202022%2012:38:20%20GMT	http://103.145.63.69:83/assets/css/owl.video.play.html	/Users/macone/Desktop/thaomocxua-1/mocthaoxua_render/103.145.63.69_83/assets/css/owl.video.play.4d.delayed	(from http://103.145.63.69:83/assets/css/plugin.scss1c07.css)
19:38:26	1552/1552	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2020%20Sep%202022%2012:38:24%20GMT	http://103.145.63.69:83/assets/css/ico-select3860.png?v=1	/Users/macone/Desktop/thaomocxua-1/mocthaoxua_render/103.145.63.69_83/assets/css/ico-select3860.4f3860.delayed	(from http://103.145.63.69:83/assets/css/base.scss1c07.css)
19:38:28	1552/1552	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2020%20Sep%202022%2012:38:27%20GMT	http://103.145.63.69:83/assets/css/icon_tuvan3860.html?v=1	/Users/macone/Desktop/thaomocxua-1/mocthaoxua_render/103.145.63.69_83/assets/css/icon_tuvan3860.503860.delayed	(from http://103.145.63.69:83/assets/css/base.scss1c07.css)
19:38:30	1552/1552	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2020%20Sep%202022%2012:38:28%20GMT	http://103.145.63.69:83/assets/css/logo3860.png?v=1	/Users/macone/Desktop/thaomocxua-1/mocthaoxua_render/103.145.63.69_83/assets/css/logo3860.513860.delayed	(from http://103.145.63.69:83/assets/css/responsive.scss1c07.css)
19:38:32	64008/64008	---M--	200	added ('OK')	text/html	etag:%22fa08-5e31d8c23ac3d%22	http://103.145.63.69:83/assets/fonts/iCielRukola.woff2	/Users/macone/Desktop/thaomocxua-1/mocthaoxua_render/103.145.63.69_83/assets/fonts/iCielRukola.html	(from http://103.145.63.69:83/assets/css/custom.css)
19:38:41	485330/485330	---M--	200	added ('OK')	image/jpeg	etag:%22767d2-5e356ae9ba1e4%22	http://103.145.63.69:83/uploads/images/166efada3ecff791aede.jpg	/Users/macone/Desktop/thaomocxua-1/mocthaoxua_render/103.145.63.69_83/uploads/images/166efada3ecff791aede.jpg	(from http://103.145.63.69:83/)
19:38:44	8925/8925	---M--	200	added ('OK')	image/png	etag:%2222dd-5e31d8c23ac3d%22	http://103.145.63.69:83/assets/images/bg-cat-type-2.png	/Users/macone/Desktop/thaomocxua-1/mocthaoxua_render/103.145.63.69_83/assets/images/bg-cat-type-2.png	(from http://103.145.63.69:83/assets/css/custom.css)
19:38:48	141404/141404	---M--	200	added ('OK')	application/font-sfnt	etag:%222285c-5e31d8c23a46d%22	http://103.145.63.69:83/assets/css/product-san3860.ttf?v=1	/Users/macone/Desktop/thaomocxua-1/mocthaoxua_render/103.145.63.69_83/assets/css/product-san38603860.ttf	(from http://103.145.63.69:83/assets/css/base.scss1c07.css)
19:38:51	94348/94348	---M--	200	added ('OK')	application/font-woff	etag:%221708c-5e31d8c23ac3d%22	http://103.145.63.69:83/assets/fonts/iCielRukola.woff	/Users/macone/Desktop/thaomocxua-1/mocthaoxua_render/103.145.63.69_83/assets/fonts/iCielRukola.woff	(from http://103.145.63.69:83/assets/css/custom.css)
19:38:54	90573/90573	---MC-	200	added ('OK')	text/html	date:Tue,%2020%20Sep%202022%2012:38:48%20GMT	http://103.145.63.69:83/san-pham/san-pham-mau-2-3	/Users/macone/Desktop/thaomocxua-1/mocthaoxua_render/103.145.63.69_83/san-pham/san-pham-mau-2-3.html	(from http://103.145.63.69:83/tim-kiem)
19:38:56	102577/102577	---MC-	200	added ('OK')	text/html	date:Tue,%2020%20Sep%202022%2012:38:52%20GMT	http://103.145.63.69:83/san-pham/cham-soc-toc-4	/Users/macone/Desktop/thaomocxua-1/mocthaoxua_render/103.145.63.69_83/san-pham/cham-soc-toc-4.html	(from http://103.145.63.69:83/tim-kiem)
19:38:58	106429/106429	---MC-	200	added ('OK')	text/html	date:Tue,%2020%20Sep%202022%2012:38:54%20GMT	http://103.145.63.69:83/san-pham/tra-thao-moc-9	/Users/macone/Desktop/thaomocxua-1/mocthaoxua_render/103.145.63.69_83/san-pham/tra-thao-moc-9.html	(from http://103.145.63.69:83/tim-kiem)
19:39:00	92569/92569	---MC-	200	added ('OK')	text/html	date:Tue,%2020%20Sep%202022%2012:38:56%20GMT	http://103.145.63.69:83/san-pham/bot-pha-10	/Users/macone/Desktop/thaomocxua-1/mocthaoxua_render/103.145.63.69_83/san-pham/bot-pha-10.html	(from http://103.145.63.69:83/tim-kiem)
19:39:02	104269/104269	---MC-	200	added ('OK')	text/html	date:Tue,%2020%20Sep%202022%2012:38:58%20GMT	http://103.145.63.69:83/san-pham/yen-chung-mix-vi-11	/Users/macone/Desktop/thaomocxua-1/mocthaoxua_render/103.145.63.69_83/san-pham/yen-chung-mix-vi-11.html	(from http://103.145.63.69:83/tim-kiem)
19:39:04	115511/115511	---MC-	200	added ('OK')	text/html	date:Tue,%2020%20Sep%202022%2012:39:00%20GMT	http://103.145.63.69:83/tim-kiem?sort=1	/Users/macone/Desktop/thaomocxua-1/mocthaoxua_render/103.145.63.69_83/tim-kiemfda1.html	(from http://103.145.63.69:83/tim-kiem)
19:39:06	111009/111009	---M--	200	added ('OK')	image/png	etag:%221b1a1-5e31d8c23ac3d%22	http://103.145.63.69:83/assets/images/bg-cat-type-3.png	/Users/macone/Desktop/thaomocxua-1/mocthaoxua_render/103.145.63.69_83/assets/images/bg-cat-type-3.png	(from http://103.145.63.69:83/assets/css/custom.css)
19:39:06	116297/116297	---MC-	200	added ('OK')	text/html	date:Tue,%2020%20Sep%202022%2012:39:02%20GMT	http://103.145.63.69:83/tim-kiem?sort=2	/Users/macone/Desktop/thaomocxua-1/mocthaoxua_render/103.145.63.69_83/tim-kiema1a1.html	(from http://103.145.63.69:83/tim-kiem)
19:39:08	115473/115473	---MC-	200	added ('OK')	text/html	date:Tue,%2020%20Sep%202022%2012:39:04%20GMT	http://103.145.63.69:83/tim-kiem?sort=3	/Users/macone/Desktop/thaomocxua-1/mocthaoxua_render/103.145.63.69_83/tim-kiem3f03.html	(from http://103.145.63.69:83/tim-kiem)
19:39:10	103940/103940	---MC-	200	added ('OK')	text/html	date:Tue,%2020%20Sep%202022%2012:39:06%20GMT	http://103.145.63.69:83/san-pham/yen-hat-sen-cai-thien-chung-dau-dau-mat-ngu-thom-ngon-bo-duong-thao-moc-xua-hu-70ml-44.html	/Users/macone/Desktop/thaomocxua-1/mocthaoxua_render/103.145.63.69_83/san-pham/yen-hat-sen-cai-thien-chung-dau-dau-mat-ngu-thom-ngon-bo-duong-thao-moc-xua-hu-70ml-44.html	(from http://103.145.63.69:83/tim-kiem)
19:39:12	103950/103950	---MC-	200	added ('OK')	text/html	date:Tue,%2020%20Sep%202022%2012:39:08%20GMT	http://103.145.63.69:83/san-pham/yen-ngu-vi-bo-sung-nang-luong-va-cai-thien-suc-khoe-thao-moc-xua-hu-70ml-43.html	/Users/macone/Desktop/thaomocxua-1/mocthaoxua_render/103.145.63.69_83/san-pham/yen-ngu-vi-bo-sung-nang-luong-va-cai-thien-suc-khoe-thao-moc-xua-hu-70ml-43.html	(from http://103.145.63.69:83/tim-kiem)
19:39:14	103784/103784	---MC-	200	added ('OK')	text/html	date:Tue,%2020%20Sep%202022%2012:39:10%20GMT	http://103.145.63.69:83/san-pham/yen-tam-vi-chung-cung-dong-trung-va-nhuy-hoa-nghe-tay-thom-ngon-bo-duong-thao-moc-xua-70ml-42.html	/Users/macone/Desktop/thaomocxua-1/mocthaoxua_render/103.145.63.69_83/san-pham/yen-tam-vi-chung-cung-dong-trung-va-nhuy-hoa-nghe-tay-thom-ngon-bo-duong-thao-moc-xua-70ml-42.html	(from http://103.145.63.69:83/tim-kiem)
